"condicion","var_entre","var_dentro","potencia"
"Continua",0.00343419948381564,0,1
"Binaria",0.00213727836125014,0.00169197409658379,0.997833333333333
"Likert-3",0.00217773971132958,0.00130241972907951,1
"Likert-5",0.00235104510478893,0.00105709163064995,1
"Likert-7",0.00256055382776286,0.000941832508925565,1
