"n","cota_teorica","media_xi_hat","sesgo","se_mc_sesgo","mse"
20,0.857142857142857,0.414368421052632,-0.0785662282696917,0.00399194000808942,0.0220923016676821
50,0.941176470588235,0.462735894357743,-0.0301987549645802,0.00241845392352586,0.00675503526224816
100,0.97029702970297,0.479149414941494,-0.0137852343808292,0.00176266812929494,0.0032939246220325
500,0.994011976047904,0.491251641006564,-0.00168300831575929,0.000795683222304322,0.000635311195457247
2000,0.998500749625187,0.49272928068232,-0.000205368640003145,0.000401635048002123,0.000161191577350181
2800,0.99892895394502,0.492636957861857,-0.000297691460466487,0.000340685414190739,0.000116039105096508
3500,0.999143101970865,0.493556997433224,0.00062234811090095,0.000303563720840553,9.24460988490924e-05
