"","Edad-Neuroticismo","Item1-Item2 (Likert)","Genero-Extraversion"
"xi_XY",0.00944837055369685,0.358140979064385,0.0243627279382853
"xi_YX",0.0252692271283201,0.374559954474895,0.00340345276029741
"dcor",0.108896421672385,0.669694421626615,0.0979434161107349
"taustar",0.00315904468954659,0.163998644284395,0.00225531993140981
"pearson",-0.114343154564372,0.706980955149606,0.100798904986642
"spearman",-0.0990589809028444,0.703394074817377,0.0957987495345087
