"transformacion","xi_n","spearman","kendall","dcor"
"Sin transformar",0.484825870646766,0.838027080677017,0.649005025125628,0.814560612853556
"Transf. monótona 1 (cubo)",0.484825870646766,0.838027080677017,0.649005025125628,0.700633732560728
"Transf. monótona 2 (exp)",0.484825870646766,0.838027080677017,0.649005025125628,0.757408661716733
