"estructura","sigma_cal","xi_hat_cal","xi_n","dcor","taustar"
"lineal",2.29181566777581,0.0914125577285315,0.446666666666667,0.966666666666667,0.976666666666667
"cuadratica",2.67536645755865,0.102633967756585,0.44,0.68,0.44
"senoidal",1.68179283050743,0.0921374777303438,0.39,0.0533333333333333,0.0666666666666667
"circular",0.16508917282468,0.099411577748529,0.396666666666667,0.1,0.746666666666667
"heterocedastica",0.0999249906210916,0.0911049827277625,0.453333333333333,0.76,0.53
