"condicion","varianza_empirica","potencia"
"Continua",0.00342332270598725,1
"Binaria",0.0123901751514141,0.9795
"Likert-3",0.00636827840876335,1
"Likert-5",0.00451323989762183,1
"Likert-7",0.0039624087890762,1
