"familia","sigma","xi_true_calibrated","dcor_true_calibrated","xi_n_media","xi_n_sesgo","xi_n_var","dcor_media","dcor_sesgo","dcor_var"
"normal",0.615104830788827,0.493329308733323,0.817845171259788,0.478445844584458,-0.0148834641488648,0.00318805365092172,0.81585194409469,-0.00199322716509842,0.00118248171697614
"uniform",0.615104830788827,0.495173363737933,0.833534300724822,0.484212121212121,-0.0109612425258122,0.00227902230049871,0.83380286342257,0.000268562697747554,0.000644646872828534
"exponential",0.569308071243304,0.496058911240147,0.828457788233434,0.483431143114311,-0.0126277681258359,0.00377253066876881,0.829134229274863,0.000676441041429166,0.00184758143991252
"t",0.569308071243304,0.507439478768599,0.821048930566736,0.492106210621062,-0.0153332681475367,0.0042464211246436,0.820880508493433,-0.000168422073302366,0.00192413616528772
"mixture",0.746369063536705,0.495297848738245,0.792202639640778,0.473865586558656,-0.0214322621795888,0.00185554647488366,0.793227913728845,0.0010252740880673,0.000640368137646088
