"n","cota_teorica","media_xi_hat","sesgo","se_mc_sesgo","mse"
20,0.857142857142857,0.721481203007519,-0.122525240793581,0.00165699886658515,0.0177553342301457
50,0.941176470588235,0.798093637454982,-0.0459128063461182,0.000894388938698527,0.00290711742866876
100,0.97029702970297,0.822695769576958,-0.0213106742241425,0.000643724302716332,0.000868111432817249
500,0.994011976047904,0.840552350209401,-0.00345409359169924,0.000272637080452162,8.61874092000592e-05
2000,0.998500749625187,0.843331298332825,-0.000675145468275518,0.000137343884503252,1.93003006711652e-05
2800,0.99892895394502,0.843341921217082,-0.00066452258401839,0.000115604155090828,1.37925466182604e-05
3500,0.999143101970865,0.843760268878389,-0.00024617492271084,0.000103085834991671,1.06766647791258e-05
